name,ticker,market,sector
PT Krom Bank Indonesia Tbk,BBSI,IDX,Finance
PT Bumi Benowo Sukses Sejahtera Tbk,BBSS,IDX,Industrial services
PT Bank Tabungan Negara (Persero) Tbk,BBTN,IDX,Finance
PT Bank Neo Commerce Tbk,BBYB,IDX,Finance
PT MNC Kapital Indonesia Tbk,BCAP,IDX,Finance
PT Bumi Citra Permai Tbk,BCIP,IDX,Finance
PT Berdikari Pondasi Perkasa Tbk,BDKR,IDX,Industrial services
PT Bank Danamon Indonesia Tbk Class A,BDMN,IDX,Finance
PT Estika Tata Tiara Tbk,BEEF,IDX,Consumer non-durables
PT Jobubu Jarum Minahasa Tbk,BEER,IDX,Consumer non-durables
PT Bank Pembangunan Daerah Banten (Perseroda) Tbk Class A,BEKS,IDX,Finance
PT Global Digital Niaga Tbk,BELI,IDX,Retail trade
PT Trisula Textile Industries Tbk,BELL,IDX,Consumer non-durables
PT Batulicin Nusantara Maritim Tbk,BESS,IDX,Transportation
PT Bekasi Fajar Industrial Estate Tbk,BEST,IDX,Industrial services
PT BFI Finance Indonesia Tbk,BFIN,IDX,Finance
PT Bank Ganesha Tbk,BGTG,IDX,Finance
PT Bhakti Multi Artha Tbk,BHAT,IDX,Commercial services
PT MNC Asia Holding Tbk,BHIT,IDX,Consumer services
PT Sepeda Bersama Indonesia Tbk,BIKE,IDX,Distribution services
PT Primarindo Asia Infrastructure Tbk,BIMA,IDX,Consumer non-durables
PT Bank Ina Perdana Tbk,BINA,IDX,Finance
PT Perma Plasindo Tbk,BINO,IDX,Producer manufacturing
PT Astrindo Nusantara Infrastruktur Tbk,BIPI,IDX,Energy minerals
PT Bhuwanatala Indah Permai Tbk Class A,BIPP,IDX,Finance
PT Blue Bird Tbk,BIRD,IDX,Transportation
PT BISI International Tbk,BISI,IDX,Process industries
PT Bank Pembangunan Daerah Jawa Barat & Banten Tbk,BJBR,IDX,Finance
PT Bank Pembangunan Daerah Jawa Timur Tbk Class B,BJTM,IDX,Finance
PT Bukit Darmo Property Tbk,BKDP,IDX,Finance
PT Sentul City Tbk,BKSL,IDX,Finance
PT Bank QNB Indonesia Tbk,BKSW,IDX,Finance
PT Superior Prima Sukses Tbk,BLES,IDX,Non-energy minerals
PT Trimitra Trans Persada Tbk,BLOG,IDX,Transportation
PT Berlian Laju Tanker Tbk,BLTA,IDX,Transportation
PT Graha Layar Prima Tbk Class C,BLTZ,IDX,Consumer services
PT Berkah Prima Perkasa Tbk,BLUE,IDX,Distribution services
PT Bank Maspion Indonesia Tbk,BMAS,IDX,Finance
PT Lavender Bina Cendikia Tbk,BMBL,IDX,Commercial services
PT Bundamedik Tbk,BMHS,IDX,Health services
PT Bank Mandiri (Persero) Tbk,BMRI,IDX,Finance
PT Bintang Mitra Semestaraya Tbk,BMSR,IDX,Distribution services
PT Global Mediacom Tbk,BMTR,IDX,Consumer services
PT Bank Bumi Arta Tbk,BNBA,IDX,Finance
PT Bakrie & Brothers Tbk Class A,BNBR,IDX,Industrial services
PT Bank CIMB Niaga Tbk Class A,BNGA,IDX,Finance
PT Bank Maybank Indonesia Tbk Class A,BNII,IDX,Finance
